import time: self [us] | cumulative | imported package
import time:      2783 |       2783 |                 pydantic._internal._discriminated_union
import time:      3742 |       3742 |                 pydantic._internal._known_annotated_metadata
import time:      6127 |       6127 |                 pydantic._internal._schema_gather
import time:      8256 |      79546 |               pydantic._internal._generate_schema
import time:      3057 |       3057 |               pydantic._internal._signature
import time:      3167 |      85769 |             pydantic._internal._model_construction
import time:     47110 |      47110 |               annotated_types
import time:      4336 |       4336 |               pydantic._internal._validators
import time:     38387 |      38387 |               pydantic.types
import time:     11452 |     101283 |             pydantic.fields
import time:       341 |        341 |                   _csv
import time:      5737 |       6078 |                 csv
import time:      1999 |       1999 |                     zipfile._path.glob
import time:      3762 |       5760 |                   zipfile._path
import time:      6937 |      12696 |                 zipfile
import time:       965 |        965 |                     importlib.metadata._functools
import time:      1314 |       2279 |                   importlib.metadata._text
import time:      2603 |       4881 |                 importlib.metadata._adapters
import time:      5176 |       5176 |                 importlib.metadata._meta
import time:      3164 |       3164 |                 importlib.metadata._collections
import time:      1864 |       1864 |                 importlib.metadata._itertools
import time:      7299 |       7299 |                       importlib.resources.abc
import time:      3280 |       3280 |                       importlib.resources._adapters
import time:      5500 |      16079 |                     importlib.resources._common
import time:      2257 |       2257 |                     importlib.resources._legacy
import time:      2088 |      20423 |                   importlib.resources
import time:      3374 |      23796 |                 importlib.abc
import time:     11871 |      69525 |               importlib.metadata
import time:      3206 |      72731 |             pydantic.plugin._loader
import time:    224568 |     697918 |           fastapi.exceptions
import time:      3628 |       3628 |             fastapi.openapi
import time:      2558 |       2558 |                 fastapi.types
import time:      2288 |       2288 |                   shlex
import time:      3370 |       3370 |                   starlette.concurrency
import time:      3980 |       3980 |                   starlette.types
import time:     10558 |      20195 |                 starlette.datastructures
import time:      3777 |      26529 |               fastapi._compat.shared
import time:      3344 |       3344 |                 fastapi.openapi.constants
import time:     13968 |      17311 |               fastapi._compat.v2
import time:      4347 |      48187 |             fastapi._compat
import time:      2488 |       2488 |             fastapi.logger
import time:      1255 |       1255 |             email_validator
import time:    582478 |     638035 |           fastapi.openapi.models
import time:      3093 |       3093 |           fastapi.datastructures
import time:     22443 |    1361488 |         fastapi.params
import time:      5890 |       5890 |           fastapi.dependencies
import time:      1462 |       1462 |                 fastapi.security.base
import time:      5939 |       5939 |                   http.cookies
import time:       194 |        194 |                           _heapq
import time:      2471 |       2665 |                         heapq
import time:      2721 |       2721 |                         asyncio.constants
import time:      1409 |       1409 |                         asyncio.coroutines
import time:      1595 |       1595 |                           asyncio.format_helpers
import time:      1904 |       1904 |                             asyncio.base_futures
import time:      1855 |       1855 |                             asyncio.exceptions
import time:      1518 |       1518 |                             asyncio.base_tasks
import time:      5941 |      11217 |                           _asyncio
import time:      3873 |      16684 |                         asyncio.events
import time:      1785 |       1785 |                         asyncio.futures
import time:      2589 |       2589 |                         asyncio.protocols
import time:      1815 |       1815 |                           asyncio.transports
import time:      1029 |       1029 |                           asyncio.log
import time:      4701 |       7543 |                         asyncio.sslproto
import time:      1954 |       1954 |                             asyncio.mixins
import time:      5846 |       7800 |                           asyncio.locks
import time:      2674 |       2674 |                             asyncio.timeouts
import time:      3562 |       6235 |                           asyncio.tasks
import time:      2642 |      16677 |                         asyncio.staggered
import time:      1481 |       1481 |                         asyncio.trsock
import time:      8584 |      62134 |                       asyncio.base_events
import time:      1980 |       1980 |                       asyncio.runners
import time:      1639 |       1639 |                       asyncio.queues
import time:      5330 |       5330 |                       asyncio.streams
import time:      4128 |       4128 |                       asyncio.subprocess
import time:      3222 |       3222 |                       asyncio.taskgroups
import time:      1791 |       1791 |                       asyncio.threads
import time:     10421 |      10421 |                         _overlapped
import time:      2834 |       2834 |                         asyncio.base_subprocess
import time:      6980 |       6980 |                         asyncio.proactor_events
import time:      4949 |       4949 |                         asyncio.selector_events
